	Sentence	Unsupervised Metric	Classification	Gold Standard
44	‘ I beg your pardon ? ’	0.06806423158381425	True	True
45	Tells you all about where we do our erm oh er beg your pardon four day training of course I should 've	0.3100422573354405	True	True
46	Four beg your pardon .	0.3436178665012375	True	True
47	If you compare the the positions one oh beg your pardon you 'll need that out .	0.2365016892063599	True	True
48	Oh I beg your pardon .	0.32207716246538753	True	True
49	I beg your pardon I beg your pardon twelve , these two things were separate you know one could be added to the other in looking an as it were at the total employment requirement .	0.27130255983596924	True	True
50	‘ I beg your pardon ? ’	0.06806423158381425	True	True
51	I beg your pardon ?	0.3214613414070117	True	True
52	Can I put it another way to you , that if houses are provided for people who have migrated from West Yorkshire to North Yorkshire , that the failure to provide for employment of an equivalent level , because I well appreciate we are not going to stop Mr Laycock driving or commute I beg your pardon commuting each day from Harrogate to Leeds , that failure failure to provide an adequate level of employment for those new residents would be contrary to the advice in P P G twelve and P P G 14 about reducing the need to travel ?	0.16573460660017422	True	True
53	I beg your pardon , I twelve .	0.2498024477189709	True	True
54	""" I beg your pardon ? """	0.15427193864957173	True	True
55	""" I beg your pardon ? """	0.15427193864957173	True	True
56	‘ I beg your pardon ? ’	0.06806423158381425	True	True
57	I beg your pardon	0.8867671325241501	False	True
58	And they 'll they 'll anybody new in the estate agent in sta in staff terms they 'll let them look at that and say well that 's what Lynda 's here er sorry I beg your pardon	0.7031114814390729	False	True
59	Oh I beg your pardon the deposit cheque .	0.27232735166876754	True	True
60	Earle I beg your pardon , and I hesitate to raise any appeal decision .	0.22737832632691005	True	True
61	Beg your pardon .	0.3898783088560623	True	True
62	Beg your pardon ?	0.37927585957813104	True	True
63	Mm , beg your pardon	0.8795141756902469	False	True
64	Mr Farraday , however , simply looked up at me and said : ‘ I beg your pardon , Stevens ? ’	0.06806423158381425	True	True
65	sorry I saw it yes I beg your pardon , I 'm sorry	0.42269492006844994	True	True
66	‘ I beg your pardon ! ’	0.06806423158381425	True	True
67	‘ I beg your pardon ? ’	0.06806423158381425	True	True
68	‘ I beg your pardon , Miss Kenton ? ’	0.06806423158381425	True	True
69	‘ I beg your pardon , Miss Kenton ? ’	0.06806423158381425	True	True
70	‘ Oh , I do beg your pardon , sir . ’	0.06806423158381425	True	True
71	‘ I beg your pardon . ’	0.06806423158381425	True	True
72	I beg your pardon .	0.3306720240899738	True	True
73	right so it 's for the half year sorry , beg your pardon five million half year	0.3435612086540629	True	True
74	Or put Xs , I beg his pardon , put Xs against three sectors ?	0.1728871623760437	True	True
75	Can you Beg you pardon	0.8703051700712006	False	True
76	‘ I beg your pardon ? ’	0.06806423158381425	True	True
77	‘ I beg your pardon ? ’	0.06806423158381425	True	True
78	‘ Then I beg your pardon , sir . ’	0.06806423158381425	True	True
79	‘ I beg your pardon , Miss Marlowe .	0.06806423158381425	True	True
80	‘ I beg your pardon .	0.06806423158381425	True	True
81	‘ I beg your pardon ? ’	0.06806423158381425	True	True
82	‘ I beg your pardon ? ’ gasped Theda , rising from her chair .	0.06806423158381425	True	True
83	‘ I — I beg your pardon , ’ faltered the ghost .	0.06806423158381425	True	True
84	‘ Oh , I beg your pardon , Rose .	0.06806423158381425	True	True
85	‘ I do beg your pardon — Mizz Butcher — would you come with me , please ? ’	0.06806423158381425	True	True
86	‘ I beg your pardon ?	0.06806423158381425	True	True
87	I beg her pardon	0.865240485486159	False	True
88	‘ Begging your pardon , Senator , but unearned wealth does not seem to have made McAllister — I mean Sally-Anne , you understand — happy . ’	0.06806423158381425	True	True
89	‘ I beg your pardon .	0.06806423158381425	True	True
90	‘ Begging your pardon again , sir .	0.06806423158381425	True	True
91	They will be restoring Dunblaine Castle — unless Havvie spends the lot on loose women , drink and gambling — begging your pardon for being frank , McAllister .	0.06806423158381425	True	True
92	‘ I beg your pardon , ladies !	0.06806423158381425	True	True
93	Wilson , writing to Mr Browning to report how his self-imposed charge fared , expressed the opinion that — he is not exactly mad , sir , begging your pardon , as unable to remember himself .	0.06806423158381425	True	True
94	She begged pardon at once for — being so free as to presume I will be read but then , ma'am , you must blame yourself for encouraging in me that letter-writing soul .	0.02387764090245933	True	True
95	He folded his arms , yawned , begged their pardon and smiled .	0.21956686666225464	True	True
96	No , beg your pardon !	0.32348072950128015	True	True
97	I beg your pardon ?	0.3214613414070117	True	True
98	I beg the hon. Gentleman 's pardon .	0.5357699468967088	True	True
99	‘ I beg your pardon .	0.06806423158381425	True	True
100	‘ I beg your pardon ? ’	0.06806423158381425	True	True
101	Oh I beg your pardon then .	0.29531108452299004	True	True
102	‘ I beg your pardon .	0.06806423158381425	True	True
103	‘ I beg your pardon , but I can not ! ’	0.06806423158381425	True	True
104	‘ I beg your pardon , Rose , ’ she managed , a faint smile crossing her face .	0.06806423158381425	True	True
105	‘ I beg your pardon .	0.06806423158381425	True	True
106	‘ I beg your pardon , Mr Beckenham , but I am , you will recall , Miss Kyte 's man of business in her new capacity . ’	0.06806423158381425	True	True
107	He would return to her , to beg her pardon for so basely misjudging her , and they would find again the former ease of friendship , the lack of which now gaped in her life like an open wound .	0.18354248307316626	True	True
108	‘ I beg your pardon ? ’ she queried weakly .	0.06806423158381425	True	True
109	‘ I beg your pardon . ’	0.06806423158381425	True	True
110	‘ I beg your pardon if I seemed ungracious .	0.06806423158381425	True	True
111	‘ I beg your pardon , but who are you ? ’	0.06806423158381425	True	True
112	‘ I beg your pardon , ma'am .	0.06806423158381425	True	True
113	‘ I beg your pardon , ma'am ? ’	0.06806423158381425	True	True
114	‘ I beg your pardon , Miss Merchiston , ’ Theda began in the subservient tone of un underling , for there was no point in drawing Araminta 's fire .	0.06806423158381425	True	True
115	‘ I have only to beg your pardon , Miss Kyte , and confess that I entirely misread the situation .	0.06806423158381425	True	True
116	‘ I beg your pardon , Mrs Diggory , ’ she said contritely .	0.06806423158381425	True	True
117	you know this is the sort of thing and really , you know , sort of cropped hair and enormous moustaches like yard brushes , or this is the story that was told to me , and , and then there was this , all this , all this chortling about why their moustaches were so lubricant , oh yes , er so , so luxurious er rather , I beg your pardon , and erm	0.31384285352715247	True	True
118	Ah I beg oh I beg your pardon in that case erm	0.49676230228154444	True	True
119	‘ I beg your pardon , ’ he said mockingly .	0.06806423158381425	True	True
120	‘ I beg your pardon ? ’	0.06806423158381425	True	True
121	‘ I beg yer pardon , ’ said Mr Thatcher in amazement .	0.06806423158381425	True	True
122	‘ I beg your pardon , Madam …	0.06806423158381425	True	True
123	He paused , bowed towards Elsa and said , ‘ I do beg your pardon .	0.06806423158381425	True	True
124	‘ I beg your pardon , sir .	0.06806423158381425	True	True
125	‘ I beg your pardon , Adolph ? ’	0.06806423158381425	True	True
126	‘ I beg your pardon , Mr Chatterton .	0.06806423158381425	True	True
127	‘ I beg your pardon ? ’	0.06806423158381425	True	True
128	I beg your pardon , gentlemen .	0.27933654816935877	True	True
129	‘ Mostly died too , of the Bloody Flux — begging your pardon , ma'am .	0.06806423158381425	True	True
130	‘ Beg your pardon , Sir .	0.06806423158381425	True	True
131	‘ I beg your pardon ? ’	0.06806423158381425	True	True
132	‘ I beg your pardon ! ’	0.06806423158381425	True	True
133	‘ I beg your pardon ? ’ said Mrs Cramp again , reeling back as if she had just been slapped in the face .	0.06806423158381425	True	True
134	‘ I beg your pardon ? ’	0.06806423158381425	True	True
135	‘ I beg your pardon ? ’	0.06806423158381425	True	True
136	I beg your pardon ?	0.3214613414070117	True	True
137	‘ I beg your pardon ? ’	0.06806423158381425	True	True
138	‘ I beg your pardon .	0.06806423158381425	True	True
139	‘ I beg your pardon , ’ the man said .	0.06806423158381425	True	True
140	‘ I beg your pardon ? ’ she queried blankly .	0.06806423158381425	True	True
141	‘ I beg your pardon ? ’	0.06806423158381425	True	True
142	‘ I beg your pardon ? ’	0.06806423158381425	True	True
143	This gentleman behind me , and myself I beg you pardon , did I say Manchester City ?	0.19867957687090396	True	True
144	‘ Well , I beg your pardon ! ’	0.06806423158381425	True	True
145	‘ I beg your pardon ? ’	0.06806423158381425	True	True
146	‘ I beg your pardon ? ’	0.06806423158381425	True	True
147	‘ I beg your pardon ? ’	0.06806423158381425	True	True
148	‘ I beg your pardon ? ’	0.06806423158381425	True	True
149	‘ I beg your pardon ? ’	0.06806423158381425	True	True
150	‘ I beg your pardon ? ’	0.06806423158381425	True	True
151	‘ I beg your pardon ? ’	0.06806423158381425	True	True
152	‘ I beg your pardon ? ’	0.06806423158381425	True	True
153	‘ I beg your pardon ? ’	0.06806423158381425	True	True
154	After it , if he 's any sense , Siward will execute the whole brood , including your cousin the Bishop , begging your pardon .	0.23455360521456592	True	True
155	‘ I beg your pardon ? ’	0.06806423158381425	True	True
156	‘ As first ( I beg your Pardon tho ’ )	0.06806423158381425	True	True
157	Frank replies , ‘ I beg your pardon ? ’ 'The funny beret and the Humphrey Bogart raincoat . ’	0.06806423158381425	True	True
158	‘ I beg your pardon ? ’	0.06806423158381425	True	True
159	‘ I beg your pardon ? ’	0.06806423158381425	True	True
160	And then er no I beg your pardon that 's wrong .	0.2599912242182402	True	True
161	beg your pardon ?	0.37927585957813104	True	True
162	‘ I beg your pardon ? ’	0.06806423158381425	True	True
163	‘ I beg your pardon ? ’	0.06806423158381425	True	True
164	I beg your pardon ?	0.3214613414070117	True	True
165	Oh beg your pardon , right , sorry	0.42367893975651316	True	True
166	‘ I beg your pardon ? ’	0.06806423158381425	True	True
167	‘ I beg your pardon ? ’	0.06806423158381425	True	True
168	‘ I beg your pardon ? ’	0.06806423158381425	True	True
169	I beg your pardon ?	0.3214613414070117	True	True
170	I beg your pardon ?	0.3214613414070117	True	True
171	I beg your pardon	0.8867671325241501	False	True
172	‘ I beg your pardon ? ’	0.06806423158381425	True	True
173	Beg your pardon !	0.40157698656868357	True	True
174	‘ Begging yer pardon , ma'am , ’ Peggy whispered hesitantly , ‘ you wo n't go climbing no steep hills in Corporation Park , will yer ?	0.06806423158381425	True	True
175	Beg your pardon ?	0.37927585957813104	True	True
176	Oh , beg your pardon !	0.3372606906184992	True	True
177	‘ I 'd best fetch the smaller basket , ’ she said , ‘ on account of your condition , begging yer pardon , ma'am . ’	0.06806423158381425	True	True
178	I beg your pardon ?	0.3214613414070117	True	True
179	I beg your pardon .	0.3306720240899738	True	True
180	‘ Begging your pardon , Mr Josh , sir . ’	0.06806423158381425	True	True
181	I beg your pardon .	0.3306720240899738	True	True
182	Beg your pardon ?	0.37927585957813104	True	True
183	Beg your pardon !	0.40157698656868357	True	True
184	I beg your pardon ?	0.3214613414070117	True	True
185	I beg your pardon ?	0.3214613414070117	True	True
186	‘ I beg your pardon , Kate Burrows ? ’	0.06806423158381425	True	True
187	Beg your pardon ?	0.37927585957813104	True	True
188	I beg your pardon ?	0.3214613414070117	True	True
189	I beg your pardon , if it wo n't fit in what ?	0.2366817545635437	True	True
190	‘ I beg your pardon for intruding , ’ she said , ‘ but I came looking for someone to serve me with petrol and I heard your voices and then what you said about Brownies . ’	0.06806423158381425	True	True
191	‘ I beg your pardon ? ’	0.06806423158381425	True	True
192	King : I beg thy pardon , Wapping .	0.23105428795189695	True	True
193	I beg your pardon !	0.34672539010141823	True	True
194	Westerhailes Park , I beg your pardon .	0.29119652597860735	True	True
195	Beg your pardon .	0.3898783088560623	True	True
196	PLAYER : ( Gravely ) I beg your pardon .	0.26557903016552503	True	True
197	I am ashamed of it myself , and for this reason I stoop to beg your pardon .	0.28251118389637236	True	True
198	[ to PAMELA ] Own that you have been very saucy and beg my pardon and I will try to pity you , for you are a sweet girl if you had but held out and been honest .	0.16423659361545054	True	True
199	I beg your pardon , the last time before	0.30391235200490346	True	True
200	Beg your pardon .	0.3898783088560623	True	True
201	Beg your pardon !	0.40157698656868357	True	True
202	Beg your pardon ?	0.37927585957813104	True	True
203	That is … begging yer pardon . ’	0.06806423158381425	True	True
204	Beg your pardon ?	0.37927585957813104	True	True
205	I beg your pardon .	0.3306720240899738	True	True
206	Oh I beg your pardon sorry	0.5621302477894973	True	True
207	Beg your pardon .	0.3898783088560623	True	True
208	Beg your pardon ?	0.37927585957813104	True	True
209	I beg your pardon yes it does . .	0.16475350428665134	True	True
210	Beg your pardon ?	0.37927585957813104	True	True
211	— O the Pleasure of counting melancholly Clock by a snoring Husband ! — But now , Sister , you shall see how handsomely , being a well-bred Man , he will beg my Pardon .	0.07270630313366135	True	True
212	Er , not the Old Vic , I beg your pardon , the Young Vic .	0.18203944771084316	True	True
213	No , no , I beg your pardon ,	0.34546277896457017	True	True
214	If his average for the first X tests is one greater than the average Sorry beg your pardon I 've got it round me round me neck .	0.19967243054319558	True	True
215	His muse had taught him Irish — his nurse had taught him Irish , beg your pardon — and shaped his rude imagination by the broken lights of Irish myth .	0.06806423158381425	True	True
216	Thirty nine , I beg your pardon .	0.2762614645967511	True	True
217	Would you turn back one page please , and look at Two pages I beg your pardon .	0.2785158382834569	True	True
218	‘ I beg your pardon , ’ said Stella .	0.06806423158381425	True	True
219	No , I think the Soviets are pretty well reconciled to the Bush point of view that a unified NATO , a unified Germany , I beg your pardon , would stay in NATO .	0.17410123607008157	True	True
220	I said , I beg your pardon ?	0.27773508406115544	True	True
221	‘ Then , is it all right if I get on , begging yer pardon , ma'am ? ’	0.06806423158381425	True	True
222	I beg your pardon	0.8867671325241501	False	True
223	Beg your pardon .	0.3898783088560623	True	True
224	‘ Begging yer pardon , ma'am , but … well , I 'd rather get on with me work , if yer do n't mind .	0.06806423158381425	True	True
225	‘ I do beg your pardon , ’ he was forced to say .	0.06806423158381425	True	True
226	I beg your pardon ?	0.3214613414070117	True	True
227	On Belfast I 've been told , and and my oversight , beg your pardon , that erm I mentioned the four regional	0.24870735766789961	True	True
228	I beg your pardon ?	0.3214613414070117	True	True
229	So er I said oh I do beg your pardon , is there ?	0.22572114306615076	True	True
230	Look , British Library Chambers I beg your pardon .	0.27989208218155415	True	True
231	Oh beg your pardon yes sorry .	0.30772764683653586	True	True
232	I beg your pardon I 've actually committed myself to tape and made a big faux pas .	0.24415277475585268	True	True
233	‘ I do beg your pardon , sir , ma'am . ’	0.06806423158381425	True	True
234	‘ I beg your pardon ? ’ asked the Widow Phipps .	0.06806423158381425	True	True
235	Okay right now erm let's continue with , I beg your pardon , let's continue with chi sorry are y oh never mind , okay right cheers right .	0.16656126093908558	True	True
236	Beg your pardon ?	0.37927585957813104	True	True
237	There 's erm there 's twenty beg your pardon , there 's twenty two complaints	0.3524754595064845	True	True
238	Oh right yes sorry I beg your pardon .	0.2931806407375263	True	True
239	I says I beg your pardon ?	0.3094292780009954	True	True
240	‘ I beg your pardon .	0.06806423158381425	True	True
241	I beg your pardon ?	0.3214613414070117	True	True
242	‘ I beg your pardon ? ’ the lawyer said blankly .	0.06806423158381425	True	True
243	Beg your pardon , you 're right	0.37960094938773653	True	True
244	I beg your pardon ?	0.3214613414070117	True	True
245	‘ I beg your pardon ? ’	0.06806423158381425	True	True
246	‘ I beg your pardon ? ’	0.06806423158381425	True	True
247	Beg your pardon ?	0.37927585957813104	True	True
248	Beg your pardon ?	0.37927585957813104	True	True
249	I er , I do beg your pardon .	0.30418215901927403	True	True
250	‘ I beg your pardon ? ’	0.06806423158381425	True	True
251	‘ I beg your pardon ? ’	0.06806423158381425	True	True
252	Erm , and that really is the end of , as it were , I beg your pardon , yes .	0.2050551433843175	True	True
253	And the two girls I beg your pardon ?	0.27263375078097385	True	True
254	Beg your pardon .	0.3898783088560623	True	True
255	‘ I beg your pardon ? ’	0.06806423158381425	True	True
256	I beg your pardon .	0.3306720240899738	True	True
257	‘ I beg your pardon ? ’	0.06806423158381425	True	True
258	Beg your pardon ?	0.37927585957813104	True	True
259	I beg your pardon ?	0.3214613414070117	True	True
260	‘ I do beg your pardon , ’ he said , and withdrew .	0.06806423158381425	True	True
261	‘ I beg your pardon , ’ he says , ‘ but when is lighting-up time here ? ’	0.06806423158381425	True	True
262	Beg your pardon ?	0.37927585957813104	True	True
263	I think Sam accidentally kicked Hannah , or kicked Hannah I do n't know I was n't there , but he came flying down , really got to curb that child he said , I said I beg your pardon , he said you 've got to curb that child kicking Hannah , I said if I 'd seen him kick her , he said that well I 'm not sure that he actually kicked her it might have been an accident	0.23312155652548755	True	True
264	Beg your pardon .	0.3898783088560623	True	True
265	Beg your pardon ?	0.37927585957813104	True	True
266	Oh , beg his pardon .	0.2995620561008157	True	True
267	I beg your pardon ?	0.3214613414070117	True	True
268	I beg your pardon .	0.3306720240899738	True	True
269	One last matter please erm , so far as I understand that you 've not yet drafted the separate staff requirement for reconnaissance , I beg you pardon , reconnaissance equipment for Eurofighter two thousand .	0.20595098918680269	True	True
270	Right , my friends we 've very strange and wonderful chemicals in this erm I do beg your pardon when we are printing .	0.22544747991974198	True	True
271	Beg your pardon .	0.3898783088560623	True	True
272	‘ I beg your pardon , ’ he said .	0.06806423158381425	True	True
273	‘ I beg your pardon ! ’	0.06806423158381425	True	True
274	‘ I beg your pardon , ’ he said .	0.06806423158381425	True	True
275	‘ I beg your pardon ? ’ she began coldly , but he interrupted her .	0.06806423158381425	True	True
276	Beg your pardon ?	0.37927585957813104	True	True
277	I beg your pardon ?	0.3214613414070117	True	True
278	a certain part of I beg your pardon sorry I 'm getting my definitions wrong may be looking after something which the erm corporate locations are solely within the south but it 's handled by an corporate account .	0.2193500983958789	True	True
279	I beg your pardon ?	0.3214613414070117	True	True
280	I beg your pardon ?	0.3214613414070117	True	True
281	Oh , I beg your pardon !	0.3283407595721406	True	True
282	Oh beg your pardon sorry I did n't realise	0.41935501676212644	True	True
283	Oh beg your pardon I 'm sorry I thought you said internal right	0.3178862310766198	True	True
284	Beg your pardon ?	0.37927585957813104	True	True
285	‘ I beg your pardon ? ’ said Clarissa , smiling .	0.06806423158381425	True	True
286	‘ Beg your pardon .	0.06806423158381425	True	True
287	Two pound , I beg your pardon	0.7863593438648008	False	True
288	Right , it says here , quality can only be asse assured , pa beg your pardon , if both patient 's view , he 's looking	0.2322754506628206	True	True
289	Beg your pardon ?	0.37927585957813104	True	True
290	I beg your pardon , it does look like a Beech bowl does n't it ?	0.23516988530278837	True	True
291	‘ I beg your pardon ? ’	0.06806423158381425	True	True
292	Oh I beg your pardon right	0.45970337819176327	True	True
293	‘ I beg your pardon ?	0.06806423158381425	True	True
294	Beg your pardon ?	0.37927585957813104	True	True
295	‘ I beg your pardon ? ’ says Howard .	0.06806423158381425	True	True
296	Oh I beg your pardon	0.8733347670818365	False	True
297	Beg your pardon ?	0.37927585957813104	True	True
298	in his arms and treat and Mr Bumble rushed into the room with great excitement and addressed the gentleman in the high chair said I beg your pardon sir , Oliver Twist has asked for more , there was a for more said compose yourself Bumble and do I understand that he asked for more after he 'd eaten supper he did sir replied Bumble , that boy would be hung I know that boy will be hung	0.18614915287842054	True	True
299	Yes I beg your pardon .	0.31933671313688616	True	True
300	‘ I beg your pardon , ’ he said .	0.06806423158381425	True	True
301	I beg your pardon .	0.3306720240899738	True	True
302	I beg your pardon ?	0.3214613414070117	True	True
303	She bit her lip , feeling a hypocrite .	0.17945527978572015	True	True
304	The girl came to him at once , her face a reflection of his own , eyes wide , her teeth biting on her lip .	0.20311216368023682	True	True
305	She bit her lip as her own words flung themselves back in her face .	0.19181246446237388	True	True
306	She paused , biting her lip while wondering if she should repeat other comments made by the Chinese .	0.14939507298027294	True	True
307	Lucy bit her lip , then asked timidly , ‘ That letter you received — I know it annoyed you .	0.04436818691859003	True	True
308	He flushed and bit his lip .	0.24062826927809022	True	True
309	She had a sudden unnerving vision of those long fingers moving as gently over her flesh , and bit her lip again on a shiver of awareness .	0.1993961087887508	True	True
310	Sabine winced , biting her lip .	0.22723343509498037	True	True
311	Biting the corner of her lip Benny haltingly told a tale of mythical blood tests .	0.31884238265568815	True	False
312	She bit her lip on a response , conscious that he had , once again , had the last word .	0.14473073658095628	True	True
313	She bit her lip .	0.25088460523829054	True	True
314	She bit her lip , but the words escaped her anyhow .	0.1662413715293041	True	True
315	Benny bit her lip and willed the tears back into her eyes .	0.20006564724227294	True	False
316	Theda bit her lip , her heart turning to liquid in her bosom .	0.21754337139966476	True	True
317	Biting her lip to stop herself crying out , she stared at him bitterly .	0.2364009626217708	True	True
318	Lucker visibly bites his lip , disappointed at having allowed a cheap crack like that to be set up .	0.14850827882313825	True	True
319	His mother bites her lip , trying to nip some involuntary humour rising in the bud .	0.1747062983011947	True	True
320	I bite my lip and worry about this coming to an end .	0.16692118447676454	True	True
321	Biting hard on her lower lip , Isabel brushed away a traitorous tear .	0.28513234435798523	True	True
322	Biting her lip , Sabine walked over to the wardrobe , and flung open its door .	0.17594092068088427	True	False
323	Marie-Christine bit her lip as they turned on to the road leading up to the château .	0.04436818691859003	True	True
324	She paused for a moment , biting her lip as if fighting for her composure .	0.1752188269845367	True	True
325	She bit her lip , refusing to be drawn .	0.18961812019391094	True	True
326	She bit her lip , the dark eyes suddenly very bright .	0.18813969981495973	True	True
327	She bit her lip .	0.25088460523829054	True	True
328	He bit his lips .	0.23888355922174861	True	False
329	She stopped , biting her lip .	0.22947356412581352	True	True
330	I ca n't bear it , ’ and moaned , biting her lip .	0.04436818691859003	True	True
331	She bit her lip .	0.25088460523829054	True	True
332	She broke free then , biting her lip .	0.2376701672382835	True	False
333	She bit her lip , conscious of the colour racing into her face at the unexpected praise .	0.15836140066315532	True	True
334	Cornelius groaned and bit his lip .	0.23941836457589724	True	True
335	Sacco bit his lip thoughtfully .	0.20333522716795727	True	True
336	She looked up and bit her lip , knowing Marc could tell she had just read it .	0.14250964739416178	True	True
337	Gabriel hesitated and bit his lip .	0.21636638464749297	True	True
338	She bit her lip .	0.25088460523829054	True	True
339	She bit her lip .	0.25088460523829054	True	True
340	Jessica bit her lip .	0.24740474953252412	True	True
341	She closed her eyes , bit her lip and nodded .	0.22450361865887794	True	False
342	She looked away , biting her lip .	0.2264482389366855	True	True
343	He drew in his breath with elation , but he could see by the way she bit her lip that she had n't intended to let the confession slip .	0.1547900117294627	True	True
344	She bit her lip , searching for firm ground in the morass that seemed to be opening up at her feet .	0.17881645566439275	True	True
345	Primaflora bit her lip without disturbing the paint .	0.20801484444392856	True	False
346	Rex bit his lip .	0.23532785442194798	True	False
347	Grimma bit her lip .	0.2772225488510641	True	True
348	Kevin bit his lip and shook his head .	0.21580517878721325	True	True
349	He bit his lip .	0.23888355922174861	True	False
350	Bit my lip — did n't want them dragging me back in there for a patient .	0.047255818183088744	True	True
351	The boy bit his lip , but looked straight at Fox .	0.13937365240518268	True	True
352	Benjamin bit his lip .	0.22659957874288195	True	True
353	Shiona bit her lip .	0.2772225488510641	True	True
354	She bit her lip , watching his face for that familiar , fleeting shadow of pain , which mention of Ryan always brought to his features — and waiting , feeling suddenly tense , for the bitter attack on her that invariably followed it .	0.04436818691859003	True	True
355	Then she bit her lip guiltily .	0.24540302276536305	True	True
356	Shiona bit her lip .	0.2772225488510641	True	True
357	The pain of returning circulation was violent , and for half an hour he bit his lips and clenched the muscles that still worked to keep himself from moaning .	0.18315489529325488	True	False
358	The older girls drifted off into one of their exclusive conversations and Sally bit her lip against the rasp of Louise 's massager and wished desperately that she could go to the youth club dance too .	0.1434981947757857	True	True
359	She bit her lip .	0.25088460523829054	True	True
360	Breeze bit her lip .	0.2567190463860275	True	False
361	As she bit her lip , Desmond recognised her pain , and reached out sympathetically to touch her hand .	0.1635258779489443	True	True
362	He bit his lip when he caught her glance .	0.18837686053564395	True	True
363	Agnes bit her fleshy lower lip and stared anxiously around .	0.24216430454753882	True	True
364	Cornelius bit his lip .	0.25805290466146247	True	True
365	Wishart bit his lip .	0.25805290466146247	True	True
366	Lou bit her lip but took the hint and settled quietly into her seat .	0.1969913616073501	True	True
367	The twins at this point turned hurriedly away and bit their lips .	0.22353658258325282	True	False
368	Charles bit on his lower lip and looked to the side as if there he would find the answer to the question ; then shook his head , saying , ‘ You know , I could n't say . ’	0.06045805066519845	True	True
369	’ She bit her lip and played with her teaspoon .	0.04436818691859003	True	True
370	‘ Wot 's … ’ but he bit his lip and kept silent .	0.036891525025281625	True	True
